,Year,Accommodation services,Food and beverage serving services,Passenger transport services,Travel agencies and other reservation services,"Cultural, sports and recreational services",Country-specific tourism characteristic goods,Country-specific tourism characteristic services,Total
0,2020,25244,12059,23521,4682,2902,31363,4147,103915
1,2021,26105,12348,24784,4917,3009,32870,4401,108432
2,2022,26966,12638,26047,5152,3116,34376,4655,112948
3,2023,27827,12928,27311,5387,3224,35883,4909,117464
4,2024,28688,13217,28574,5622,3331,37390,5163,121981
5,2025,29549,13507,29837,5856,3438,38896,5417,126497
6,2026,30410,13797,31100,6091,3545,40403,5671,131014
7,2027,31271,14086,32363,6326,3652,41910,5925,135530
8,2028,32131,14376,33626,6561,3759,43416,6179,140047
9,2029,32992,14665,34889,6796,3867,44923,6434,144563
10,2030,33853,14955,36152,7030,3974,46430,6688,149079
